IDATid,Sample_ID,SentrixBarcode_A,SentrixPosition_A,File_ID,SNPid,SAMPLE_ID,INVENTORY_SAMPLE_NAME,SampleType,Plate,GreenIDAT,RedIDAT
6317375090_R03C01,Unk361,6317375090,r03c01,_ega-box-147_6317375090_r03c01,WG0118061.DNAF12,636313,SK-N-FI,CellLine,WG0118061,6317375090_r03c01_grn.idat,6317375090_r03c01_red.idat
6317375090_R04C01,Unk362,6317375090,r04c01,_ega-box-147_6317375090_r04c01,WG0118061.DNAH12,636315,HCC2157 (UTSW),CellLine,WG0118061,6317375090_r04c01_grn.idat,6317375090_r04c01_red.idat
6317375095_R01C01,Unk363,6317375095,r01c01,_ega-box-147_6317375095_r01c01,WG0118061.DNAE07,636273,KMS-26,CellLine,WG0118061,6317375095_r01c01_grn.idat,6317375095_r01c01_red.idat
6317375095_R02C01,Unk364,6317375095,r02c01,_ega-box-147_6317375095_r02c01,WG0118061.DNAG07,636275,Jurkat Clone E6-1,CellLine,WG0118061,6317375095_r02c01_grn.idat,6317375095_r02c01_red.idat
6317375095_R03C01,Unk365,6317375095,r03c01,_ega-box-147_6317375095_r03c01,WG0118061.DNAF07,636274,KHM-1B,CellLine,WG0118061,6317375095_r03c01_grn.idat,6317375095_r03c01_red.idat
6317375095_R04C01,Unk366,6317375095,r04c01,_ega-box-147_6317375095_r04c01,WG0118061.DNAH07,636276,K-562,CellLine,WG0118061,6317375095_r04c01_grn.idat,6317375095_r04c01_red.idat
6317375096_R02C01,Unk367,6317375096,r02c01,_ega-box-147_6317375096_r02c01,WG0118061.DNAG10,636299,G44,CellLine,WG0118061,6317375096_r02c01_grn.idat,6317375096_r02c01_red.idat
6317375096_R03C01,Unk368,6317375096,r03c01,_ega-box-147_6317375096_r03c01,WG0118061.DNAF10,636298,G28T,CellLine,WG0118061,6317375096_r03c01_grn.idat,6317375096_r03c01_red.idat
6317375096_R04C01,Unk369,6317375096,r04c01,_ega-box-147_6317375096_r04c01,WG0118061.DNAH10,636300,G59,CellLine,WG0118061,6317375096_r04c01_grn.idat,6317375096_r04c01_red.idat
6317375105_R01C01,Unk370,6317375105,r01c01,_ega-box-147_6317375105_r01c01,WG0118061.DNAA11,636301,G61,CellLine,WG0118061,6317375105_r01c01_grn.idat,6317375105_r01c01_red.idat
6317375105_R02C01,Unk371,6317375105,r02c01,_ega-box-147_6317375105_r02c01,WG0118061.DNAC11,636303,G96,CellLine,WG0118061,6317375105_r02c01_grn.idat,6317375105_r02c01_red.idat
6317375105_R03C01,Unk372,6317375105,r03c01,_ega-box-147_6317375105_r03c01,WG0118061.DNAB11,636302,G84,CellLine,WG0118061,6317375105_r03c01_grn.idat,6317375105_r03c01_red.idat
6317375105_R04C01,Unk373,6317375105,r04c01,_ega-box-147_6317375105_r04c01,WG0118061.DNAD11,636304,Hs 683,CellLine,WG0118061,6317375105_r04c01_grn.idat,6317375105_r04c01_red.idat
6317375106_R01C01,Unk374,6317375106,R01C01,_ega-box-147_6317375106_R01C01,WG0118060.DNAA06,637146,NCI-H2804,CellLine,WG0118060,6317375106_R01C01_Grn.idat,6317375106_R01C01_Red.idat
6317375106_R02C01,Unk375,6317375106,R02C01,_ega-box-147_6317375106_R02C01,WG0118060.DNAC06,637148,BICR 78,CellLine,WG0118060,6317375106_R02C01_Grn.idat,6317375106_R02C01_Red.idat
6317375106_R03C01,Unk376,6317375106,R03C01,_ega-box-147_6317375106_R03C01,WG0118060.DNAB06,637147,NCI-H2722,CellLine,WG0118060,6317375106_R03C01_Grn.idat,6317375106_R03C01_Red.idat
6317375106_R04C01,Unk377,6317375106,R04C01,_ega-box-147_6317375106_R04C01,WG0118060.DNAD06,637149,C32TG,CellLine,WG0118060,6317375106_R04C01_Grn.idat,6317375106_R04C01_Red.idat
6317375107_R01C01,Unk378,6317375107,r01c01,_ega-box-147_6317375107_r01c01,WG0118061.DNAE09,636289,G118,CellLine,WG0118061,6317375107_r01c01_grn.idat,6317375107_r01c01_red.idat
6317375107_R02C01,Unk379,6317375107,r02c01,_ega-box-147_6317375107_r02c01,WG0118061.DNAG09,636291,G121,CellLine,WG0118061,6317375107_r02c01_grn.idat,6317375107_r02c01_red.idat
6317375107_R03C01,Unk380,6317375107,r03c01,_ega-box-147_6317375107_r03c01,WG0118061.DNAF09,636290,G120,CellLine,WG0118061,6317375107_r03c01_grn.idat,6317375107_r03c01_red.idat
6317375107_R04C01,Unk381,6317375107,r04c01,_ega-box-147_6317375107_r04c01,WG0118061.DNAH09,636292,G122,CellLine,WG0118061,6317375107_r04c01_grn.idat,6317375107_r04c01_red.idat
6317375111_R02C01,Unk382,6317375111,R02C01,_ega-box-147_6317375111_R02C01,WG0118060.DNAG06,637152,COLO 853,CellLine,WG0118060,6317375111_R02C01_Grn.idat,6317375111_R02C01_Red.idat
6317375111_R03C01,Unk383,6317375111,R03C01,_ega-box-147_6317375111_R03C01,WG0118060.DNAF06,637151,COLO 794,CellLine,WG0118060,6317375111_R03C01_Grn.idat,6317375111_R03C01_Red.idat
6317375111_R04C01,Unk384,6317375111,R04C01,_ega-box-147_6317375111_R04C01,WG0118060.DNAH06,637153,COLO 857,CellLine,WG0118060,6317375111_R04C01_Grn.idat,6317375111_R04C01_Red.idat
6317383018_R01C01,Unk385,6317383018,r01c01,_ega-box-147_6317383018_r01c01,WG0118066.DNAE01,635697,KMM-1,CellLine,WG0118066,6317383018_r01c01_grn.idat,6317383018_r01c01_red.idat
6317383018_R02C01,Unk386,6317383018,r02c01,_ega-box-147_6317383018_r02c01,WG0118066.DNAG01,635712,KMS-12-BM,CellLine,WG0118066,6317383018_r02c01_grn.idat,6317383018_r02c01_red.idat
6317383018_R03C01,Unk387,6317383018,r03c01,_ega-box-147_6317383018_r03c01,WG0118066.DNAF01,635705,KMS-11,CellLine,WG0118066,6317383018_r03c01_grn.idat,6317383018_r03c01_red.idat
6317383018_R04C01,Unk388,6317383018,r04c01,_ega-box-147_6317383018_r04c01,WG0118066.DNAH01,635717,KMS-12-PE,CellLine,WG0118066,6317383018_r04c01_grn.idat,6317383018_r04c01_red.idat
6317383021_R01C01,Unk389,6317383021,r01c01,_ega-box-147_6317383021_r01c01,WG0118066.DNAE06,635708,NCI-H2122,CellLine,WG0118066,6317383021_r01c01_grn.idat,6317383021_r01c01_red.idat
6317383021_R02C01,Unk390,6317383021,r02c01,_ega-box-147_6317383021_r02c01,WG0118066.DNAG06,635710,NCI-H292,CellLine,WG0118066,6317383021_r02c01_grn.idat,6317383021_r02c01_red.idat
6317383022_R02C01,Unk391,6317383022,r02c01,_ega-box-147_6317383022_r02c01,WG0118066.DNAC04,635688,HCC4011,CellLine,WG0118066,6317383022_r02c01_grn.idat,6317383022_r02c01_red.idat
6317383022_R03C01,Unk392,6317383022,r03c01,_ega-box-147_6317383022_r03c01,WG0118066.DNAB04,635687,HCC2935 (UTSW),CellLine,WG0118066,6317383022_r03c01_grn.idat,6317383022_r03c01_red.idat
6317383022_R04C01,Unk393,6317383022,r04c01,_ega-box-147_6317383022_r04c01,WG0118066.DNAD04,635689,HCC827,CellLine,WG0118066,6317383022_r04c01_grn.idat,6317383022_r04c01_red.idat
6317383025_R01C01,Unk394,6317383025,r01c01,_ega-box-147_6317383025_r01c01,WG0118066.DNAE02,635672,L-363,CellLine,WG0118066,6317383025_r01c01_grn.idat,6317383025_r01c01_red.idat
6317383025_R02C01,Unk395,6317383025,r02c01,_ega-box-147_6317383025_r02c01,WG0118066.DNAG02,635674,MM.1S (IVCC),CellLine,WG0118066,6317383025_r02c01_grn.idat,6317383025_r02c01_red.idat
6317383025_R03C01,Unk396,6317383025,r03c01,_ega-box-147_6317383025_r03c01,WG0118066.DNAF02,635673,LP-1,CellLine,WG0118066,6317383025_r03c01_grn.idat,6317383025_r03c01_red.idat
